listing_id,review_id,date,reviewer_id
22219088,200088015,2017-10-04,123346683
2997346,200088015,2017-10-04,123346683
22219088,205182329,2017-10-21,23770481
2997346,205182329,2017-10-21,23770481
22219088,223954194,2018-01-02,77129337
2997346,223954194,2018-01-02,77129337
2997346,256197483,2018-04-22,115838328
22219088,256197483,2018-04-22,115838328
22219250,256940062,2018-04-24,172857558
466155,256940062,2018-04-24,172857558
22219081,267670224,2018-05-22,13538867
5880984,267670224,2018-05-22,13538867
5880984,268584240,2018-05-25,123864726
22219081,268584240,2018-05-25,123864726
22219081,273473836,2018-06-06,126086197
5880984,273473836,2018-06-06,126086197
22219081,275984980,2018-06-12,6150664
5880984,275984980,2018-06-12,6150664
5880984,280843268,2018-06-24,122553749
22219081,280843268,2018-06-24,122553749
10072453,289753825,2018-07-13,29297595
22219134,289753825,2018-07-13,29297595
9126251,294423663,2018-07-22,35690267
22219090,294423663,2018-07-22,35690267
2997346,303293968,2018-08-07,68390014
22219088,303293968,2018-08-07,68390014
10072453,307840556,2018-08-15,116167974
22219134,307840556,2018-08-15,116167974
22219090,327085784,2018-09-23,52635330
9126251,327085784,2018-09-23,52635330
5878807,329562820,2018-09-29,217186921
22219085,329562820,2018-09-29,217186921
22219081,330884408,2018-10-01,195690465
5880984,330884408,2018-10-01,195690465
9126251,331068452,2018-10-01,215420319
22219090,331068452,2018-10-01,215420319
5880984,332797584,2018-10-06,10137485
22219081,332797584,2018-10-06,10137485
9126251,335456934,2018-10-12,81287328
22219090,335456934,2018-10-12,81287328
22219080,336397888,2018-10-14,53232555
5024565,336397888,2018-10-14,53232555
22219090,337697354,2018-10-17,5578667
9126251,337697354,2018-10-17,5578667
22219134,361328474,2018-12-23,55054916
10072453,361328474,2018-12-23,55054916
22219088,364789949,2018-12-31,59388279
2997346,364789949,2018-12-31,59388279
22219134,427811589,2019-03-24,34068431
10072453,427811589,2019-03-24,34068431
22219085,427955757,2019-03-24,39781672
5878807,427955757,2019-03-24,39781672
10072453,433288519,2019-04-06,16387305
22219134,433288519,2019-04-06,16387305
5878807,436153856,2019-04-12,242254084
22219085,436153856,2019-04-12,242254084
5878807,436497479,2019-04-13,49023950
22219085,436497479,2019-04-13,49023950
14926853,437102525,2019-04-14,23188456
22219095,437102525,2019-04-14,23188456
22219085,438705999,2019-04-17,245684919
5878807,438705999,2019-04-17,245684919
14926853,440793959,2019-04-21,10766989
22219095,440793959,2019-04-21,10766989
22219134,441537536,2019-04-22,83452860
10072453,441537536,2019-04-22,83452860
22219081,442312418,2019-04-23,40680123
5880984,442312418,2019-04-23,40680123
10072453,443507550,2019-04-26,86397430
22219134,443507550,2019-04-26,86397430
22219085,443650128,2019-04-26,248456543
5878807,443650128,2019-04-26,248456543
22219082,444763297,2019-04-28,15729328
21242412,444763297,2019-04-28,15729328
22219080,445491105,2019-04-29,96460482
5024565,445491105,2019-04-29,96460482
22219085,446379965,2019-05-01,30895945
5878807,446379965,2019-05-01,30895945
22219080,446724786,2019-05-02,60344501
5024565,446724786,2019-05-02,60344501
22219085,447868466,2019-05-04,126944567
5878807,447868466,2019-05-04,126944567
14926853,450028189,2019-05-08,1780276
22219095,450028189,2019-05-08,1780276
